zip,CON,DEM,GRE,IND,LIB,REP,UNK,total
48616,0.0,635.0,0.0,0.0,0.0,650.0,0.0,1285.0
48617,0.0,665.0,0.0,0.0,672.0,1350.0,0.0,2687.0
48618,0.0,901.0,0.0,0.0,0.0,250.0,0.0,1151.0
48619,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0
48621,0.0,50.0,0.0,0.0,0.0,605.0,0.0,655.0
48622,0.0,2061.0,0.0,0.0,0.0,1880.0,0.0,3941.0
48623,0.0,4426.0,0.0,0.0,250.0,4353.0,0.0,9029.0
48624,0.0,3450.0,0.0,0.0,0.0,1882.0,0.0,5332.0
48625,0.0,0.0,0.0,0.0,0.0,2877.0,0.0,2877.0
48626,0.0,70.0,0.0,0.0,0.0,4010.0,0.0,4080.0
48627,0.0,75.0,0.0,0.0,0.0,150.0,0.0,225.0
48628,0.0,0.0,0.0,0.0,0.0,770.0,0.0,770.0
48629,0.0,850.0,0.0,0.0,0.0,3681.0,0.0,4531.0
48631,0.0,674.0,0.0,0.0,0.0,2544.0,0.0,3218.0
48632,0.0,289.0,0.0,0.0,0.0,1176.0,0.0,1465.0
48633,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0
48634,0.0,508.0,0.0,0.0,0.0,160.0,0.0,668.0
48635,0.0,0.0,0.0,0.0,0.0,465.0,0.0,465.0
48636,0.0,1000.0,500.0,0.0,0.0,0.0,0.0,1500.0
48637,0.0,0.0,0.0,0.0,0.0,105.0,0.0,105.0
48638,0.0,2181.0,0.0,0.0,250.0,3125.0,0.0,5556.0
48640,0.0,22264.0,0.0,0.0,0.0,18939.0,0.0,41203.0
48642,0.0,13483.0,0.0,250.0,0.0,23832.0,0.0,37565.0
48647,0.0,0.0,0.0,0.0,0.0,1216.0,0.0,1216.0
48649,0.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0
48650,0.0,100.0,0.0,0.0,0.0,6749.0,0.0,6849.0
48651,0.0,3072.0,0.0,0.0,0.0,561.0,0.0,3633.0
48653,0.0,6455.0,0.0,0.0,0.0,3570.0,0.0,10025.0
48654,0.0,100.0,0.0,0.0,0.0,725.0,0.0,825.0
48655,0.0,621.0,0.0,0.0,0.0,360.0,0.0,981.0
48656,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
48657,0.0,641.0,0.0,0.0,0.0,8101.0,0.0,8742.0
48658,0.0,35.0,0.0,0.0,0.0,2000.0,0.0,2035.0
48659,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0
48661,0.0,1597.0,0.0,0.0,0.0,2377.0,0.0,3974.0
48701,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0
48703,0.0,336.0,0.0,0.0,0.0,1116.0,0.0,1452.0
48705,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0
48706,0.0,10885.0,344.0,0.0,0.0,9605.0,0.0,20834.0
48708,0.0,4641.0,0.0,0.0,0.0,2355.0,0.0,6996.0
48722,0.0,1153.0,0.0,0.0,0.0,1332.0,0.0,2485.0
48723,0.0,2300.0,0.0,0.0,0.0,1515.0,0.0,3815.0
48725,0.0,275.0,0.0,0.0,0.0,300.0,0.0,575.0
48726,0.0,203.0,0.0,0.0,0.0,2965.0,0.0,3168.0
